    25357/  4 | SET 0
    25574/  4 | 3619 
    25574/  4 | 3619 
    25574/  4 | 3619 
    25575/  4 | 3619 
    25575/  4 | 3619 
    25575/  4 | 3619 
    25575/  4 | 3619 
    25576/  4 | 3619 
    25576/  4 | 3619 
    25576/  4 | 3619 
    25576/  4 | 3619 
    25576/  4 | 3619 
    25577/  4 | 3619 
    25577/  4 | 3619 
    25577/  4 | 3619 
    25577/  4 | 3619 
    25578/  4 | 3619 
    25578/  4 | 3619 
    25578/  4 | 3619 
    25578/  4 | 3619 
    25579/  4 | 3619 
    25579/  4 | 3619 
    25579/  4 | 3619 
    25579/  4 | 3619 
    25580/  4 | 3619 
    25580/  4 | 3619 
    25580/  4 | 3619 
    25580/  4 | 3619 
    25580/  4 | 3619 
    25581/  4 | 3619 
    25581/  4 | 3619 
    25581/  4 | 3619 
    25581/  4 | 3619 
    25582/  4 | 3619 
    25582/  4 | 3619 
    25582/  4 | 3619 
    25582/  4 | 3619 
    25583/  4 | 3619 
    25583/  4 | 3619 
    25583/  4 | 3619 
    25583/  4 | 3619 
    25584/  4 | 3619 
    25584/  4 | 3619 
    25584/  4 | 3619 
    25584/  4 | 3619 
    25585/  4 | 3619 
    25585/  4 | 3619 
    25585/  4 | 3619 
    25585/  4 | 3619 
    25585/  4 | 3619 
    25586/  4 | 3619 
    25586/  4 | 3619 
    25586/  4 | 3619 
    25586/  4 | 3619 
    25587/  4 | 3619 
    25587/  4 | 3619 
    25587/  4 | 3619 
    25587/  4 | 3619 
    25588/  4 | 3619 
    25588/  4 | 3619 
    25588/  4 | 3619 
    25588/  4 | 3619 
    25592/  4 | SET 0
    25592/  4 | 0 
    25592/  4 | 0 
    25593/  4 | 0 
    25593/  4 | 0 
    25593/  4 | 0 
    25593/  4 | 0 
    25593/  4 | 0 
    25594/  4 | 0 
    25594/  4 | 0 
    25594/  4 | 0 
    25594/  4 | 0 
    25595/  4 | 0 
    25595/  4 | 0 
    25595/  4 | 0 
    25595/  4 | 0 
    25595/  4 | 0 
    25596/  4 | 0 
    25596/  4 | 0 
    25596/  4 | 0 
    25596/  4 | 0 
    25596/  4 | 0 
    25597/  4 | 0 
    25597/  4 | 0 
    25597/  4 | 0 
    25597/  4 | 0 
    25597/  4 | 0 
    25598/  4 | 0 
    25598/  4 | 0 
    25598/  4 | 0 
    25598/  4 | 2873 
    25598/  4 | 2873 
    25599/  4 | 2873 
    25599/  4 | 2873 
    25599/  4 | 2873 
    25599/  4 | 2873 
    25600/  4 | 2873 
    25600/  4 | 2873 
    25600/  4 | 2873 
    25600/  4 | 2873 
    25601/  4 | 2873 
    25601/  4 | 2873 
    25601/  4 | 2873 
    25601/  4 | 2873 
    25601/  4 | 2873 
    25602/  4 | 2873 
    25602/  4 | 2873 
    25602/  4 | 2873 
    25602/  4 | 2873 
    25603/  4 | 2873 
    25603/  4 | 2873 
    25603/  4 | 2873 
    25603/  4 | 2873 
    25604/  4 | 2873 
    25604/  4 | 2873 
    25604/  4 | 2873 
    25604/  4 | 2873 
    25605/  4 | 2873 
    25605/  4 | 2873 
    25605/  4 | 2873 
    25605/  4 | 2873 
    25606/  4 | 2873 
    25606/  4 | 2873 
    25606/  4 | 2873 
    25606/  4 | 2873 
    25606/  4 | 2873 
    25607/  4 | 2873 
